,Date,states,Lst_price,sret,mkt_cret,Ticker
674,2018-09-26,0,1.3167,-0.0012902737929092684,-0.10843166633995317,GBPUSD
675,2018-09-27,0,1.3079,-0.006705808867191205,-0.11513747520714437,GBPUSD
676,2018-09-28,0,1.3031,-0.003676756344246533,-0.11881423155139091,GBPUSD
677,2018-10-01,0,1.3042,0.0008437848082417178,-0.11797044674314919,GBPUSD
678,2018-10-02,0,1.2979,-0.00484225226538862,-0.1228126990085378,GBPUSD
679,2018-10-03,0,1.294,-0.00300937763286745,-0.12582207664140527,GBPUSD
680,2018-10-04,0,1.3021,0.006240149673836724,-0.11958192696756854,GBPUSD
681,2018-10-05,0,1.312,0.007574344769351656,-0.11200758219821688,GBPUSD
682,2018-10-08,0,1.309,-0.002289203594134563,-0.11429678579235145,GBPUSD
683,2018-10-09,0,1.3143,0.004040717578062504,-0.11025606821428895,GBPUSD
684,2018-10-10,0,1.3196,0.004024455866463895,-0.10623161234782505,GBPUSD
685,2018-10-11,0,1.323,0.0025732247605292826,-0.10365838758729577,GBPUSD
686,2018-10-12,0,1.3153,-0.005837108640222764,-0.10949549622751853,GBPUSD
687,2018-10-15,0,1.3152,-7.603117281743651e-05,-0.10957152740033596,GBPUSD
688,2018-10-16,0,1.3181,0.002202560416504716,-0.10736896698383125,GBPUSD
689,2018-10-17,0,1.3115,-0.005019785411491595,-0.11238875239532284,GBPUSD
690,2018-10-18,0,1.3018,-0.007423598168641462,-0.1198123505639643,GBPUSD
691,2018-10-19,0,1.3076,0.004445473711768575,-0.11536687685219572,GBPUSD
692,2018-10-22,0,1.2963,-0.008679343244058474,-0.1240462200962542,GBPUSD
693,2018-10-23,0,1.2983,0.001541663760210657,-0.12250455633604354,GBPUSD
694,2018-10-24,0,1.2881,-0.007887451964165564,-0.1303920083002091,GBPUSD
695,2018-10-25,0,1.2817,-0.004980942666263805,-0.13537295096647292,GBPUSD
696,2018-10-26,0,1.2828,0.0008578670832214527,-0.13451508388325148,GBPUSD
697,2018-10-29,0,1.2793,-0.002732135496010424,-0.1372472193792619,GBPUSD
698,2018-10-30,0,1.2706,-0.006823823490556579,-0.14407104286981848,GBPUSD
699,2018-10-31,0,1.2766,0.0047110639895241585,-0.13935997888029433,GBPUSD
700,2018-11-01,0,1.3012,0.019086621777239524,-0.12027335710305481,GBPUSD
701,2018-11-02,0,1.297,-0.003233010282752497,-0.12350636738580731,GBPUSD
702,2018-11-05,0,1.3041,0.005459242346412277,-0.11804712503939503,GBPUSD
703,2018-11-06,0,1.3099,0.004437650740747105,-0.11360947429864793,GBPUSD
704,2018-11-07,0,1.3126,0.0020591046360191527,-0.11155036966262878,GBPUSD
705,2018-11-08,0,1.3062,-0.004887744571065606,-0.11643811423369439,GBPUSD
706,2018-11-09,0,1.2972,-0.006914063035393943,-0.12335217726908834,GBPUSD
707,2018-11-12,0,1.2849,-0.00952720114372788,-0.13287937841281622,GBPUSD
708,2018-11-13,0,1.2977,0.00991257245375006,-0.12296680595906616,GBPUSD
709,2018-11-14,0,1.2992,0.0011552236642285647,-0.1218115822948376,GBPUSD
710,2018-11-15,0,1.2774,-0.016921928279924628,-0.13873351057476224,GBPUSD
711,2018-11-16,0,1.2834,0.004686044188926125,-0.13404746638583612,GBPUSD
712,2018-11-19,0,1.2854,0.0015571476207708245,-0.13249031876506528,GBPUSD
713,2018-11-20,0,1.2788,-0.005147815751499509,-0.1376381345165648,GBPUSD
714,2018-11-21,0,1.2778,-0.0007822890174434185,-0.1384204235340082,GBPUSD
715,2018-11-23,0,1.2814,0.00281338103667828,-0.13560704249732994,GBPUSD
716,2018-11-26,0,1.2827,0.001014001100883654,-0.1345930413964463,GBPUSD
717,2018-11-27,0,1.2747,-0.006256374516929493,-0.14084941591337577,GBPUSD
718,2018-11-28,0,1.2825,0.0061004412560490785,-0.1347489746573267,GBPUSD
719,2018-11-29,0,1.2791,-0.0026545924395771432,-0.13740356709690382,GBPUSD
720,2018-11-30,0,1.2749,-0.0032889614612708435,-0.14069252855817466,GBPUSD
721,2018-12-03,0,1.2725,-0.0018842747193987598,-0.1425768032775734,GBPUSD
722,2018-12-04,0,1.2719,-0.0004716239672389384,-0.14304842724481234,GBPUSD
723,2018-12-06,0,1.2781,0.004862754680229837,-0.1381856725645825,GBPUSD
724,2018-12-07,0,1.2726,-0.00431254833897696,-0.14249822090355946,GBPUSD
725,2018-12-10,0,1.2561,-0.01305036910548445,-0.15554859000904392,GBPUSD
726,2018-12-11,0,1.2487,-0.005908672572107995,-0.16145726258115192,GBPUSD
727,2018-12-12,0,1.2629,0.011307653531024973,-0.15014960905012695,GBPUSD
728,2018-12-13,0,1.2643,0.0011079456657276483,-0.1490416633843993,GBPUSD
729,2018-12-14,0,1.2583,-0.004757005719929842,-0.15379866910432916,GBPUSD
730,2018-12-17,0,1.2624,0.0032530674936876104,-0.15054560161064154,GBPUSD
731,2018-12-18,0,1.2639,0.0011875075614708177,-0.14935809404917072,GBPUSD
732,2018-12-19,0,1.261,-0.0022971216881611197,-0.15165521573733184,GBPUSD
733,2018-12-20,0,1.2656,0.0036412610484700776,-0.14801395468886178,GBPUSD
734,2018-12-21,0,1.2645,-0.0008695309033696438,-0.1488834855922314,GBPUSD
735,2018-12-24,0,1.2706,0.004812442722412938,-0.14407104286981848,GBPUSD
736,2018-12-27,0,1.2644,-0.004891528490970239,-0.14896257136078872,GBPUSD
737,2018-12-28,0,1.2699,0.004340455853525131,-0.1446221155072636,GBPUSD
738,2018-12-31,0,1.2754,0.004321697686183589,-0.14030041782108,GBPUSD
